#
#--------------------------------------------------------------------------------
##ASTER 15.04.00 CONCEPT 0000001d CALCULE LE 20/02/2023 A 14:37:35 DE TYPE        
#TABLE_SDASTER                                                                   
INTITULE         NOEUD    RESU     NOM_CHAM         NUME_ORDRE   INST         ABSC_CURV    COOR_X       COOR_Y       COOR_Z       DX           DY           DZ           TEMP        
Displacements    N1       00000013 DEPL                        1  0.00000E+00  0.00000E+00 -1.36083E-01  4.48604E-01  7.50000E-01 -3.06393E-03  4.38799E-03  3.56664E-03 -           
Displacements    N2       00000013 DEPL                        1  0.00000E+00  4.99999E-02 -1.36083E-01  4.48604E-01  7.00000E-01 -3.08745E-03  4.26321E-03  3.33729E-03 -           
Displacements    N3       00000013 DEPL                        1  0.00000E+00  1.00000E-01 -1.36083E-01  4.48604E-01  6.50000E-01 -3.10562E-03  4.14174E-03  3.10492E-03 -           
Displacements    N4       00000013 DEPL                        1  0.00000E+00  1.50000E-01 -1.36083E-01  4.48604E-01  6.00000E-01 -3.12437E-03  4.02236E-03  2.87033E-03 -           
Displacements    N5       00000013 DEPL                        1  0.00000E+00  2.00000E-01 -1.36083E-01  4.48604E-01  5.50000E-01 -3.13796E-03  3.90820E-03  2.63258E-03 -           
Displacements    N6       00000013 DEPL                        1  0.00000E+00  2.50000E-01 -1.36083E-01  4.48604E-01  5.00000E-01 -3.15384E-03  3.80245E-03  2.39198E-03 -           
Displacements    N7       00000013 DEPL                        1  0.00000E+00  3.00000E-01 -1.36083E-01  4.48604E-01  4.50000E-01 -3.17127E-03  3.70585E-03  2.15501E-03 -           
Displacements    N8       00000013 DEPL                        1  0.00000E+00  3.50000E-01 -1.36083E-01  4.48604E-01  4.00000E-01 -3.18846E-03  3.61740E-03  1.91375E-03 -           
Displacements    N9       00000013 DEPL                        1  0.00000E+00  4.00000E-01 -1.36083E-01  4.48604E-01  3.50000E-01 -3.19789E-03  3.54944E-03  1.66886E-03 -           
Displacements    N10      00000013 DEPL                        1  0.00000E+00  4.50000E-01 -1.36083E-01  4.48604E-01  3.00000E-01 -3.20727E-03  3.48079E-03  1.42370E-03 -           
Displacements    N11      00000013 DEPL                        1  0.00000E+00  5.00000E-01 -1.36083E-01  4.48604E-01  2.50000E-01 -3.21793E-03  3.43335E-03  1.18277E-03 -           
Displacements    N12      00000013 DEPL                        1  0.00000E+00  5.50000E-01 -1.36083E-01  4.48604E-01  2.00000E-01 -3.22124E-03  3.39003E-03  9.42474E-04 -           
Displacements    N13      00000013 DEPL                        1  0.00000E+00  6.00000E-01 -1.36083E-01  4.48604E-01  1.50000E-01 -3.23120E-03  3.35909E-03  6.98637E-04 -           
