#
#--------------------------------------------------------------------------------
##ASTER 15.04.00 CONCEPT 0000001d CALCULE LE 20/02/2023 A 17:44:47 DE TYPE        
#TABLE_SDASTER                                                                   
INTITULE         NOEUD    RESU     NOM_CHAM         NUME_ORDRE   INST         ABSC_CURV    COOR_X       COOR_Y       COOR_Z       DX           DY           DZ           TEMP        
Displacements    N1       00000013 DEPL                        1  0.00000E+00  0.00000E+00 -1.36083E-01  4.48604E-01  7.50000E-01 -2.85284E-03  1.91152E-03  1.97428E-03 -           
Displacements    N2       00000013 DEPL                        1  0.00000E+00  4.99999E-02 -1.36083E-01  4.48604E-01  7.00000E-01 -2.80611E-03  1.87135E-03  1.84334E-03 -           
Displacements    N3       00000013 DEPL                        1  0.00000E+00  1.00000E-01 -1.36083E-01  4.48604E-01  6.50000E-01 -2.76298E-03  1.83318E-03  1.71320E-03 -           
Displacements    N4       00000013 DEPL                        1  0.00000E+00  1.50000E-01 -1.36083E-01  4.48604E-01  6.00000E-01 -2.72068E-03  1.79575E-03  1.58150E-03 -           
Displacements    N5       00000013 DEPL                        1  0.00000E+00  2.00000E-01 -1.36083E-01  4.48604E-01  5.50000E-01 -2.68140E-03  1.75926E-03  1.44835E-03 -           
Displacements    N6       00000013 DEPL                        1  0.00000E+00  2.50000E-01 -1.36083E-01  4.48604E-01  5.00000E-01 -2.64600E-03  1.72547E-03  1.31470E-03 -           
Displacements    N7       00000013 DEPL                        1  0.00000E+00  3.00000E-01 -1.36083E-01  4.48604E-01  4.50000E-01 -2.61445E-03  1.69670E-03  1.18106E-03 -           
Displacements    N8       00000013 DEPL                        1  0.00000E+00  3.50000E-01 -1.36083E-01  4.48604E-01  4.00000E-01 -2.58643E-03  1.67078E-03  1.04590E-03 -           
Displacements    N9       00000013 DEPL                        1  0.00000E+00  4.00000E-01 -1.36083E-01  4.48604E-01  3.50000E-01 -2.56038E-03  1.64977E-03  9.13785E-04 -           
Displacements    N10      00000013 DEPL                        1  0.00000E+00  4.50000E-01 -1.36083E-01  4.48604E-01  3.00000E-01 -2.53826E-03  1.62893E-03  7.80681E-04 -           
Displacements    N11      00000013 DEPL                        1  0.00000E+00  5.00000E-01 -1.36083E-01  4.48604E-01  2.50000E-01 -2.52129E-03  1.61561E-03  6.47568E-04 -           
Displacements    N12      00000013 DEPL                        1  0.00000E+00  5.50000E-01 -1.36083E-01  4.48604E-01  2.00000E-01 -2.50461E-03  1.60194E-03  5.16383E-04 -           
Displacements    N13      00000013 DEPL                        1  0.00000E+00  6.00000E-01 -1.36083E-01  4.48604E-01  1.50000E-01 -2.49495E-03  1.59381E-03  3.82814E-04 -           
Displacements    N14      00000013 DEPL                        1  0.00000E+00  6.50000E-01 -1.36083E-01  4.48604E-01  1.00000E-01 -2.48665E-03  1.58822E-03  2.49219E-04 -           
Displacements    N15      00000013 DEPL                        1  0.00000E+00  6.97917E-01 -1.36083E-01  4.48604E-01  5.20833E-02 -2.48315E-03  1.58515E-03  1.13462E-04 -           
Displacements    N16      00000013 DEPL                        1  0.00000E+00  1.56879E+00  3.62380E-01  2.97397E-01  7.50000E-01 -1.26917E-03  1.63156E-03  2.89651E-03 -           
Displacements    N17      00000013 DEPL                        1  0.00000E+00  1.61879E+00  3.62380E-01  2.97397E-01  7.00000E-01 -1.21803E-03  1.54178E-03  2.69248E-03 -           
Displacements    N18      00000013 DEPL                        1  0.00000E+00  1.66879E+00  3.62380E-01  2.97397E-01  6.50000E-01 -1.17313E-03  1.46148E-03  2.48883E-03 -           
Displacements    N19      00000013 DEPL                        1  0.00000E+00  1.71879E+00  3.62380E-01  2.97397E-01  6.00000E-01 -1.13144E-03  1.38460E-03  2.29088E-03 -           
Displacements    N20      00000013 DEPL                        1  0.00000E+00  1.76879E+00  3.62380E-01  2.97397E-01  5.50000E-01 -1.10208E-03  1.31528E-03  2.08962E-03 -           
Displacements    N21      00000013 DEPL                        1  0.00000E+00  1.81879E+00  3.62380E-01  2.97397E-01  5.00000E-01 -1.07653E-03  1.24880E-03  1.89490E-03 -           
Displacements    N22      00000013 DEPL                        1  0.00000E+00  1.86879E+00  3.62380E-01  2.97397E-01  4.50000E-01 -1.06022E-03  1.19377E-03  1.69054E-03 -           
Displacements    N23      00000013 DEPL                        1  0.00000E+00  1.91879E+00  3.62380E-01  2.97397E-01  4.00000E-01 -1.04329E-03  1.13946E-03  1.50248E-03 -           
Displacements    N24      00000013 DEPL                        1  0.00000E+00  1.96879E+00  3.62380E-01  2.97397E-01  3.50000E-01 -1.03997E-03  1.09371E-03  1.30220E-03 -           
Displacements    N25      00000013 DEPL                        1  0.00000E+00  2.01879E+00  3.62380E-01  2.97397E-01  3.00000E-01 -1.03465E-03  1.05497E-03  1.11531E-03 -           
Displacements    N26      00000013 DEPL                        1  0.00000E+00  2.06879E+00  3.62380E-01  2.97397E-01  2.50000E-01 -1.03434E-03  1.02286E-03  9.19071E-04 -           
Displacements    N27      00000013 DEPL                        1  0.00000E+00  2.11879E+00  3.62380E-01  2.97397E-01  2.00000E-01 -1.03221E-03  9.94127E-04  7.32387E-04 -           
Displacements    N28      00000013 DEPL                        1  0.00000E+00  2.16879E+00  3.62380E-01  2.97397E-01  1.50000E-01 -1.03431E-03  9.73992E-04  5.38361E-04 -           
Displacements    N29      00000013 DEPL                        1  0.00000E+00  2.21879E+00  3.62380E-01  2.97397E-01  1.00000E-01 -1.03432E-03  9.59079E-04  3.50174E-04 -           
Displacements    N30      00000013 DEPL                        1  0.00000E+00  2.26670E+00  3.62380E-01  2.97397E-01  5.20833E-02 -1.03200E-03  9.52831E-04  1.62539E-04 -           
Displacements    N31      00000013 DEPL                        1  0.00000E+00  3.11489E+00 -9.14568E-02  4.59785E-01  7.50000E-01 -2.73489E-03  1.96217E-03  2.01939E-03 -           
Displacements    N32      00000013 DEPL                        1  0.00000E+00  3.16090E+00 -4.59495E-02  4.66533E-01  7.50000E-01 -2.60867E-03  2.00297E-03  2.07354E-03 -           
Displacements    N33      00000013 DEPL                        1  0.00000E+00  3.22884E+00 -9.14568E-02  4.59785E-01  7.00000E-01 -2.68488E-03  1.91624E-03  1.88717E-03 -           
Displacements    N34      00000013 DEPL                        1  0.00000E+00  3.27485E+00 -4.59495E-02  4.66533E-01  7.00000E-01 -2.56004E-03  1.95473E-03  1.93559E-03 -           
Displacements    N35      00000013 DEPL                        1  0.00000E+00  3.34279E+00 -9.14568E-02  4.59785E-01  6.50000E-01 -2.64045E-03  1.87222E-03  1.75278E-03 -           
Displacements    N36      00000013 DEPL                        1  0.00000E+00  3.38880E+00 -4.59495E-02  4.66533E-01  6.50000E-01 -2.51485E-03  1.90707E-03  1.79817E-03 -           
Displacements    N37      00000013 DEPL                        1  0.00000E+00  3.45674E+00 -9.14568E-02  4.59785E-01  6.00000E-01 -2.59784E-03  1.83148E-03  1.61842E-03 -           
Displacements    N38      00000013 DEPL                        1  0.00000E+00  3.50275E+00 -4.59495E-02  4.66533E-01  6.00000E-01 -2.47260E-03  1.86107E-03  1.65897E-03 -           
Displacements    N39      00000013 DEPL                        1  0.00000E+00  3.57069E+00 -9.14568E-02  4.59785E-01  5.50000E-01 -2.55896E-03  1.79198E-03  1.48239E-03 -           
Displacements    N40      00000013 DEPL                        1  0.00000E+00  3.61670E+00 -4.59495E-02  4.66533E-01  5.50000E-01 -2.43355E-03  1.81628E-03  1.51891E-03 -           
Displacements    N41      00000013 DEPL                        1  0.00000E+00  3.68464E+00 -9.14568E-02  4.59785E-01  5.00000E-01 -2.52344E-03  1.75568E-03  1.34632E-03 -           
Displacements    N42      00000013 DEPL                        1  0.00000E+00  3.73065E+00 -4.59495E-02  4.66533E-01  5.00000E-01 -2.39552E-03  1.77628E-03  1.38005E-03 -           
Displacements    N43      00000013 DEPL                        1  0.00000E+00  3.79859E+00 -9.14568E-02  4.59785E-01  4.50000E-01 -2.48843E-03  1.72015E-03  1.21162E-03 -           
Displacements    N44      00000013 DEPL                        1  0.00000E+00  3.84460E+00 -4.59495E-02  4.66533E-01  4.50000E-01 -2.36467E-03  1.73897E-03  1.23874E-03 -           
Displacements    N45      00000013 DEPL                        1  0.00000E+00  3.91254E+00 -9.14568E-02  4.59785E-01  4.00000E-01 -2.46135E-03  1.69247E-03  1.07250E-03 -           
Displacements    N46      00000013 DEPL                        1  0.00000E+00  3.95854E+00 -4.59495E-02  4.66533E-01  4.00000E-01 -2.33557E-03  1.70631E-03  1.09880E-03 -           
Displacements    N47      00000013 DEPL                        1  0.00000E+00  4.02649E+00 -9.14568E-02  4.59785E-01  3.50000E-01 -2.43641E-03  1.66932E-03  9.35616E-04 -           
Displacements    N48      00000013 DEPL                        1  0.00000E+00  4.07249E+00 -4.59495E-02  4.66533E-01  3.50000E-01 -2.31089E-03  1.68022E-03  9.58793E-04 -           
Displacements    N49      00000013 DEPL                        1  0.00000E+00  4.14044E+00 -9.14568E-02  4.59785E-01  3.00000E-01 -2.41544E-03  1.64705E-03  7.98425E-04 -           
Displacements    N50      00000013 DEPL                        1  0.00000E+00  4.18644E+00 -4.59495E-02  4.66533E-01  3.00000E-01 -2.28877E-03  1.65579E-03  8.19154E-04 -           
Displacements    N51      00000013 DEPL                        1  0.00000E+00  4.25439E+00 -9.14568E-02  4.59785E-01  2.50000E-01 -2.39755E-03  1.63058E-03  6.62059E-04 -           
Displacements    N52      00000013 DEPL                        1  0.00000E+00  4.30039E+00 -4.59495E-02  4.66533E-01  2.50000E-01 -2.27171E-03  1.63658E-03  6.78533E-04 -           
Displacements    N53      00000013 DEPL                        1  0.00000E+00  4.36834E+00 -9.14568E-02  4.59785E-01  2.00000E-01 -2.38346E-03  1.61754E-03  5.27127E-04 -           
Displacements    N54      00000013 DEPL                        1  0.00000E+00  4.41434E+00 -4.59495E-02  4.66533E-01  2.00000E-01 -2.25734E-03  1.62206E-03  5.40704E-04 -           
Displacements    N55      00000013 DEPL                        1  0.00000E+00  4.48229E+00 -9.14568E-02  4.59785E-01  1.50000E-01 -2.37192E-03  1.60662E-03  3.91679E-04 -           
Displacements    N56      00000013 DEPL                        1  0.00000E+00  4.52829E+00 -4.59495E-02  4.66533E-01  1.50000E-01 -2.24585E-03  1.61067E-03  4.00911E-04 -           
Displacements    N57      00000013 DEPL                        1  0.00000E+00  4.59624E+00 -9.14568E-02  4.59785E-01  1.00000E-01 -2.36436E-03  1.60056E-03  2.54578E-04 -           
Displacements    N58      00000013 DEPL                        1  0.00000E+00  4.64224E+00 -4.59495E-02  4.66533E-01  1.00000E-01 -2.23842E-03  1.60255E-03  2.58550E-04 -           
Displacements    N59      00000013 DEPL                        1  0.00000E+00  4.70867E+00 -9.14568E-02  4.59785E-01  5.20833E-02 -2.35888E-03  1.59562E-03  1.19568E-04 -           
Displacements    N60      00000013 DEPL                        1  0.00000E+00  4.75467E+00 -4.59495E-02  4.66533E-01  5.20833E-02 -2.23348E-03  1.60026E-03  1.17934E-04 -           
Displacements    N61      00000013 DEPL                        1  0.00000E+00  5.60286E+00  3.89786E-01  2.60447E-01  7.50000E-01 -1.16713E-03  1.48929E-03  3.00741E-03 -           
Displacements    N62      00000013 DEPL                        1  0.00000E+00  5.64887E+00  4.13436E-01  2.20986E-01  7.50000E-01 -1.07826E-03  1.32381E-03  3.11812E-03 -           
Displacements    N63      00000013 DEPL                        1  0.00000E+00  5.71681E+00  3.89786E-01  2.60447E-01  7.00000E-01 -1.11693E-03  1.39820E-03  2.79390E-03 -           
Displacements    N64      00000013 DEPL                        1  0.00000E+00  5.76282E+00  4.13436E-01  2.20986E-01  7.00000E-01 -1.02527E-03  1.23298E-03  2.88957E-03 -           
Displacements    N65      00000013 DEPL                        1  0.00000E+00  5.83076E+00  3.89786E-01  2.60447E-01  6.50000E-01 -1.07041E-03  1.31524E-03  2.57238E-03 -           
Displacements    N66      00000013 DEPL                        1  0.00000E+00  5.87677E+00  4.13436E-01  2.20986E-01  6.50000E-01 -9.78757E-04  1.15002E-03  2.66805E-03 -           
Displacements    N67      00000013 DEPL                        1  0.00000E+00  5.94471E+00  3.89786E-01  2.60447E-01  6.00000E-01 -1.03060E-03  1.23934E-03  2.36233E-03 -           
